,title,authors,publisher,published_date,description,ISBN13,categories,google_rating,google_ratings_count,book_cover_url,language
0,The Waste Lands,['Stephen King'],Signet Book,1993-01-01,The foundations of Black House were built on The Dark Tower series,9780451173317,['Fiction'],4,6,http://books.google.com/books/content?id=kXaHJGQVZLIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1,The Amber Spyglass,['Philip Pullman'],Laurel Leaf,2003,"Lyra and Will find themselves at the center of a battle between the forces of the Authority and those gathered by Lyra's father, Lord Asriel.",9780440238157,['Juvenile Fiction'],3.5,183,http://books.google.com/books/content?id=VIaPPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
2,The Eyes of the Dragon,['Stephen King'],Signet Book,1988,"After Flagg, the evil court magician, sees a mouse chance upon a grain of dragon sand behind Prince Peter's shelves and die--as did the king--in fire and smoke, he plots to imprison Peter in the Needle and seize control of the kingdom. Reissue.",9780451166586,['Fiction'],4,5,http://books.google.com/books/content?id=dWMsEPygyAMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
3,The voyage of the Dawn Treader,['Clive Staples Lewis'],Simon & Schuster Books For Young Readers,1970-08,"The ""Dawn Treader"" is the first ship Narnia has seen in centuries. King Caspian has built it for his voyage to find the seven lords, good men whom his evil uncle Mizaz banished when he usurped the throne. The journey takes Edmund, Lucy, and their cousin Eustace to the Eastern Islands, beyond the Silver Sea, toward Aslan's country at the End of the World. Illustrations.",9780020442608,['Juvenile Fiction'],4.5,54,http://books.google.com/books/content?id=fDD3CfYb70cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
4,Lolita,['Vladīmir Vladimirovich Nabokov'],Vintage Books,1997,A novel that studies the moral disintegration of a man whose obsessive desire to possess his step-daughter destroys the lives of those around him,9780679723165,['Fiction'],5,3,http://books.google.com/books/content?id=WfCKDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
5,William Shakespeare's Twelfth Night,"['Bruce Coville', 'Tim Raglin']",Dial Books for Young Readers,2003,"Retells, in simplified prose, William Shakespeare's play about the misadventures which result from trickery and deceit.",9780803723184,['Juvenile Fiction'],4,1,http://books.google.com/books/content?id=0FMIAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
6,Romeo and Juliet,['William Shakespeare'],Simon and Schuster,2004,"Offers explanatory notes on pages facing the text of the play, as well as an introduction to Shakespeare's language, life, and theater",9780743477116,['Drama'],3,2826,http://books.google.com/books/content?id=1cEsNsWYbK4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
7,The Art of Deception,"['Kevin D. Mitnick', 'William L. Simon']",John Wiley & Sons,2003-10-17,"The world's most infamous hacker offers an insider's view of the low-tech threats to high-tech security Kevin Mitnick's exploits as a cyber-desperado and fugitive form one of the most exhaustive FBI manhunts in history and have spawned dozens of articles, books, films, and documentaries. Since his release from federal prison, in 1998, Mitnick has turned his life around and established himself as one of the most sought-after computer security experts worldwide. Now, in The Art of Deception, the world's most notorious hacker gives new meaning to the old adage, ""It takes a thief to catch a thief."" Focusing on the human factors involved with information security, Mitnick explains why all the firewalls and encryption protocols in the world will never be enough to stop a savvy grifter intent on rifling a corporate database or an irate employee determined to crash a system. With the help of many fascinating true stories of successful attacks on business and government, he illustrates just how susceptible even the most locked-down information systems are to a slick con artist impersonating an IRS agent. Narrating from the points of view of both the attacker and the victims, he explains why each attack was so successful and how it could have been prevented in an engaging and highly readable style reminiscent of a true-crime novel. And, perhaps most importantly, Mitnick offers advice for preventing these types of social engineering hacks through security protocols, training programs, and manuals that address the human element of security.",9780764542800,['Computers'],4,8,http://books.google.com/books/content?id=rmvDDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
8,Theory of Fun for Game Design,['Raph Koster'],"""O'Reilly Media, Inc.""",2005,"Discusses the essential elements in creating a successful game, how playing games and learning are connected, and what makes a game boring or fun.",9781932111972,['Computers'],3,5,http://books.google.com/books/content?id=jYdqQ4YdccYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
9,The Pillow Book of Sei Sh?nagon,['Sei Shōnagon'],Columbia University Press,1991,"The Pillow Book of Sei Shonagon is an immensely detailed account of court life in eleventh-century Japan. Written at the height of Heian culture, it is a classic text of great literary beauty, full of lively anecdotes, humorous observations, and subtle impressions. Sei Shonagon was a contemporary and erstwhile rival of Lady Murasaki, whose novel, The Tale of Genji, fictionalized the court life that Lady Shonagon captures so vividly in her diary. The Pillow Book contains her reflections on royal and religious ceremonies, nature, pilgrimage, conversation, and poetry. Lady Shonagon shares character sketches and the things she both loves and loathes. Her style is so eloquent, her wit so sharp, even the briefest fragments enchant us. There is no better introduction to the daily preoccupations of the Heian upper class, and Ivan Morris's notes and contextualization enrich the material for scholars and general readers.",9780231073370,['Literary Collections'],4.5,4,http://books.google.com/books/content?id=H-F5iZeCMfQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
