,title,authors,publisher,published_date,description,ISBN13,categories,google_rating,google_ratings_count,book_cover_url,language
10,Bachelor Brothers' Bed & Breakfast Pillow Book,['Bill Richardson'],Macmillan,1998-10-15,"Brothers Hector and Virgil make another appearance in this collection of anecdotes, recipes, gossip, and childhood memories, in a novel in which local poet Solomon Solomon makes an amusing revelation about the history of the twin landlords",9780312194406,['Fiction'],4.0,1,http://books.google.com/books/content?id=MYJ_8b0Wf9kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
11,The Cyberiad,['Stanislaw Lem'],Houghton Mifflin Harcourt,2002-12-16,"Trurl and Klaupacius are constructor robots who try to out-invent each other. They travel to the far corners of the cosmos to take on freelance problem-solving jobs, with dire consequences for their employers. “The most completely successful of his books... here Lem comes closest to inventing a real universe” (Boston Globe). Illustrations by Daniel Mr—z. Translated by Michael Kandel.",9780156027595,['Fiction'],4,20,http://books.google.com/books/content?id=kWElP9YZkzQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
12,Christianity for Modern Pagans,['Peter Kreeft'],Ignatius Press,1993,"Peter Kreeft believes that Baise Pascal is the first post-medieval apologist. No writer in history, claims Kreeft, is a more effective Christian apologist and evangelist to today's uprooted, confused, secularized pagans (inside and outside the Church) than Pascal. He was a brilliant man--a great scientist who did major work in physics and mathematics, as well as an inventor--whom Kreeft thinks was three centuries ahead of his time. His apologetics found in his Pensees are ideal for the modern, sophisticated skeptic.",9780898704525,['Religion'],4.5,5,http://books.google.com/books/content?id=ueroynbTaRkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
13,Rameau's Nephew / D'alembert's Dream,['Denis Diderot'],Penguin,1966,The two works in dialogue form blending irony and humor challenge eighteenth-century morals and conventions,9780140441734,['Fiction'],2.0,1,http://books.google.com/books/content?id=fLN3q5YR8moC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
14,Theory of Colours,"['Johann Wolfgang von Goethe', 'Donald Eastlake']",MIT Press,1970,"By closely following Goethe's explanations of the color phenomena, the reader may become so divorced from the wavelength theory--Goethe never even mentions it--that he may begin to think about color theory relatively unhampered by prejudice, ancient or modern. By the time Goethe's Theory of Colours appeared in 1810, the wavelength theory of light and color had been firmly established. To Goethe, the theory was the result of mistaking an incidental result for an elemental principle. Far from pretending to a knowledge of physics, he insisted that such knowledge was an actual hindrance to understanding. He based his conclusions exclusively upon exhaustive personal observation of the phenomena of color. Of his own theory, Goethe was supremely confident: ""From the philosopher, we believe we merit thanks for having traced the phenomena of colours to their first sources, to the circumstances under which they appear and are, and beyond which no further explanation respecting them is possible."" Goethe's scientific conclusions have, of course, long since been thoroughly demolished, but the intelligent reader of today may enjoy this work on quite different grounds: for the beauty and sweep of his conjectures regarding the connection between color and philosophical ideas; for an insight into early nineteenth-century beliefs and modes of thought; and for the flavor of life in Europe just after the American and French Revolutions. The book does not have to be studied to be appreciated. Goethe's subjective theory of colors permits him to speak most persuasively of color harmony and aesthetics. In some readers these notions will evoke a positive response on their merits. Others may regard them as pure fantasy, but savor the grace and style of their exposition. The work may also be read as an accurate guide to the study of color phenomena. Goethe's conclusions have been repudiated, but no one quarrels with his reporting of the facts to be observed. With simple objects--vessels, prisms, lenses, and the like--the reader will be led through a demonstration course not only in subjectively produced colors, but also in the observable physical phenomena of color. By closely following Goethe's explanations of the color phenomena, the reader may become so divorced from the wavelength theory--Goethe never even mentions it--that he may begin to think about color theory relatively unhampered by prejudice, ancient or modern.",9780262570213,['Art'],3,1,http://books.google.com/books/content?id=1Jjv0oVT0x0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
15,Maxims and Reflections,['Johann Goethe'],ePenguin,2005-12-01,"Throughout his long, hectic and astonishingly varied life, Johann Wolfgang von Goethe (1749�1832) would jot down his passing thoughts on theatre programmes, visiting cards, draft manuscripts and even bills � Goethe was probably the last true �Renaissance Man�. Although employed as a Privy Councillor at the Duke of Weimar�s court, where he helped oversee major mining, road-building and irrigation projects, he also painted, directed plays, carried out research in anatomy, botany and optics � and still found time to produce masterpieces in every literary genre. His fourteen hundred Maxims and Reflections reveal some of his deepest thought on art, ethics, literature and natural science, but also his immediate reactions to books, chance encounters or his administrative work. Although variable in quality, the vast majority have a freshness and immediacy which vividly conjure up Goethe the man. They make an ideal introduction to one of the greatest of European writers.",9780140447200,['Literary Collections'],4,1,http://books.google.com/books/content?id=-2RWY230tW0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
16,War and Peace,"['graf Leo Tolstoy', 'Anthony Briggs']",Viking Press,2006,The monumental Russian classic reflects the life and times of Russian society during the Napoleonic War.,9780670034697,['Fiction'],4,165,http://books.google.com/books/content?id=5l27QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
17,A Savage War of Peace,['Alistair Horne'],New York Review of Books,2006,"Although war was never formally declared, the Algerian War lasted from 1954 to 1962. It caused six French governments to fall, led to the collapse of the Fourth Republic, brought De Gaulle back to power, and came close to provoking a civil war on French soil. More than a million Muslim Algerians died in the conflict and as many European settlers were driven into exile. Above all, the war was marked by an unholy marriage of revolutionary terror and state torture. The war made headlines around the world, and at the time it seemed like a French affair: Now, this brutal and intractable conflict looks less like the last colonial war than the first postmodern one--a full-dress rehearsal for the sort of amorphous struggle that convulsed the Balkans in the 1990s and that is now ravaging Iraq, and in which religion, nationalism, imperialism, and terrorism assume previously unimagined degrees of intensity.",9781590172186,['History'],4.5,10,http://books.google.com/books/content?id=wuoDDB4Rbz8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
18,War and Peace,['graf Leo Tolstoy'],Modern Library Classics,2002,The monumental Russian classic reflects the life and times of Russian society during the Napoleonic War.,9780375760648,['Fiction'],5.0,1,http://books.google.com/books/content?id=MNQK8uDk5F4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
19,War and Peace,"['graf Leo Tolstoy', 'Anthony Briggs']",Penguin Classics,2006,Presents the classical epic of the Napoleonic Wars and their effects on four Russian families,9780143039990,['Fiction'],4,8,http://books.google.com/books/content?id=GD8-SwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
20,War and Peace and War,['Peter Turchin'],Penguin,2007,"Argues that the key to the formation of an empire lies in a society's capacity for collective action, resulting from people banding together to confront a common enemy, and describing how the growth of empires leads to a growing dichotomy between rich and poor, increasing conflict instead of cooperation, and inevitable dissolution. Reprint. 25,000 first printing.",9780452288195,['History'],2.5,2,http://books.google.com/books/content?id=cOXJjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
21,Great Expectations,"['Charles Dickens', 'Linda Jennings']",Putnam Juvenile,1995,"When a mysterious benefactor enables the orphan boy, Pip, to rise in Victorian society, Pip is educated as a gentleman and snobbishly neglects his childhood friends.",9780140366815,['Juvenile Fiction'],3.5,200,http://books.google.com/books/content?id=97aRPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
22,Oliver Twist,['Charles Dickens'],W W Norton & Company Incorporated,1993,Textual notes and critical essays accompany the tale of a poor orphan's adventures in the criminal underworld of mid-nineteenth century London,9780393962925,['Fiction'],4,1,http://books.google.com/books/content?id=LVr5h4OzgKwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
23,Oliver Twist,['Charles Dickens'],Sterling Publishing Company,2004-10,Story of London underworld and a boy's struggle to escape from the environment of crime.,9781593082062,['Fiction'],4,1,http://books.google.com/books/content?id=JsXq_iUpQ9EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
24,The Nibelungenlied,"['A. H. Hatto', 'Anonymous', 'none']",Penguin,1965,"Written by an unknown author in the twelfth century, this powerful tale of murder and revenge reaches back to the earliest epochs of German antiquity, transforming centuries-old legend into a masterpiece of chivalric drama. Siegfried, a great prince of the Netherlands, wins the hand of the beautiful princess Kriemhild of Burgundy, by aiding her brother Gunther in his struggle to seduce a powerful Icelandic Queen. But the two women quarrel, and Siegfried is ultimately destroyed by those he trusts the most. Comparable in scope to the Iliad, this skilfully crafted work combines the fragments of half-forgotten myths to create one of the greatest epic poems - the principal version of the heroic legends used by Richard Wagner, in The Ring.",9780140441376,['Literary Collections'],3.5,6,http://books.google.com/books/content?id=nCV_E8HJkNUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
25,Phenomenology of Perception,['Maurice Merleau-Ponty'],Psychology Press,2002,"Challenging and rewarding in equal measure, Phenomenology of Perception is Merleau-Ponty's most famous work. Impressive in both scope and imagination, it uses the example of perception to return the body to the forefront of philosophy for the first time since Plato. Drawing on case studies such as brain-damaged patients from the First World War, Merleau-Ponty brilliantly shows how the body plays a crucial role not only in perception but in speech, sexuality and our relation to others.",9780415278416,['Philosophy'],4.5,8,http://books.google.com/books/content?id=q3HwhfjRmswC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
26,Introduction to Phenomenology,['Dermot Moran'],Psychology Press,2000,The book should be of interest to all students who seek to complement their knowledge of analytic philosophy and further their understanding of European thought.,9780415183734,['Philosophy'],4.0,1,http://books.google.com/books/content?id=ouELk-xPkGQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
27,Introduction to Phenomenology,['Robert Sokolowski'],Cambridge University Press,2000,"Introductory volume, presenting the major philosophical doctrines of phenomenology.",9780521667920,['Philosophy'],5,1,http://books.google.com/books/content?id=v8lFXWE3g1YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
28,The Basic Problems of Phenomenology,['Martin Heidegger'],Indiana University Press,1988,Continues and extends explorations begun in Being and Time.,9780253204783,['Philosophy'],5,2,http://books.google.com/books/content?id=VmatHCLJ4Q4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
29,Critique of Pure Reason,"['Immanuel Kant', 'J. M. D. Meiklejohn']",Courier Corporation,2003,"In his monumental Critique of Pure Reason, German philosopher Immanuel Kant (1724–1804) argues that human knowledge is limited by the capacity for perception. He attempts a logical designation of two varieties of knowledge: a posteriori, the knowledge acquired through experience; and a priori, knowledge not derived through experience. Kant maintains that the most practical forms of human knowledge employ the a priori judgments that are possible only when the mind determines the conditions of its own experience. This accurate translation by J. M. Meiklejohn offers a simple and direct rendering of Kant's work that is suitable for readers at all levels.",9780486432540,['Philosophy'],3.5,347,http://books.google.com/books/content?id=U75JGtgpDt0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
30,Critique of Pure Reason,['Immanuel Kant'],Cambridge University Press,1999-02-28,The most accurate and informative English translation ever produced of this epochal philosophical text.,9780521657297,['Philosophy'],3.5,357,http://books.google.com/books/content?id=qqeX8MJurLkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
31,Critique of Pure Reason,['Immanuel Kant'],Hackett Publishing,1996,"Reflects the elegant achievement of Kant. This title provides a roadmap to Kant's abstract and complex argumentation by locating his view in the context of eighteenth-century, and attempts to understand the nature of the thinking mind and its ability to comprehend the physical universe.",9780872202573,['Philosophy'],5,4,http://books.google.com/books/content?id=Iz1xiAIcWiMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
32,Critique of Pure Reason,['Immanuel Kant'],Penguin Classics,2007,Immanuel Kant was one of the leading lights of 18th-century philosophy; his work provided the foundations for later revolutionary thinkers such as Hegel and Marx. This work contains the keystone of his critical philosophy - the basis of human knowledge and truth.,9780140447477,['Literary Criticism'],3.5,11,http://books.google.com/books/content?id=PhbXAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
33,The Anime Encyclopedia,"['Jonathan Clements', 'Helen McCarthy']","Stone Bridge Press, Inc.",2006,"Covering more than eighty years of anime history and over three thousand titles, the authors show how the anime universe has influenced creative cultures far beyond its native Japanese shores.",9781933330105,['Performing Arts'],2,3,http://books.google.com/books/content?id=NnzqAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
34,The Picture of Dorian Gray,['Oscar Wilde'],Wildside Press LLC,2005,"A young man of rare beauty, Dorian Gray is the very picture of the ideal British gentleman. When he is drawn into a life of decadence and lustful indulgence, he discovers a painting begins to bear new marks for each of his sins, leaving him as youthful and attractive as ever. And so begins Dorian's descent into a personal hell of lies, murder, and depravity.",9781557424297,['Fiction'],4.0,2496,http://books.google.com/books/content?id=qareB4wM8mMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
35,"Haussmann, Or the Distinction",['Paul LaFarge'],Macmillan,2002-10-02,"France's greatest architect, Baron Georges-EugFne Haussman, stands at the center of this unique novel about the reconstruction of Paris during the nineteenth century. Reprint. 10,000 first printing.",9780312420925,['Fiction'],3.5,2,http://books.google.com/books/content?id=2CIM-IKhZmEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
36,The Artist of the Missing,['Paul LaFarge'],Macmillan,1999-06-04,"Hoping to solve the mystery of his parents' disappearance, a young artist travels to the city, where he falls in love with a woman who also promptly vanishes. A first novel. Original.",9780374525804,['Fiction'],3.5,3,http://books.google.com/books/content?id=n4igLX-makMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
37,Reluctant Runaway,['Jill Elizabeth Nelson'],Multnomah,2007,Is it coincidence that Karen Webb disappears just one day before Indian artifacts are stolen? Security consultant Desiree Jacobs and her FBI agent boyfriend scramble to connect the dots - and save Karen's life.,9781590526873,['Fiction'],4.5,17,http://books.google.com/books/content?id=QQdwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
38,Kentucky Straight,['Chris Offutt'],Vintage,1992,"Tells the stories of the coal miners, gamblers, marijuana farmers, and backwoods medicine men living in an isolated Appalachian community",9780679738862,['Fiction'],3,2,http://books.google.com/books/content?id=6VqxAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
39,No Heroes,['Chris Offutt'],Simon and Schuster,2003-04-02,"The author of The Same River Twice recalls his painful but ultimately revealing attempt to return home to the rural hills of Kentucky to give back to his hometown community and to record the personal story of his parents-in-law, Holocaust survivors who had emigrated from Poland in 1946. Reprint.",9780684865522,['Biography & Autobiography'],3.0,2,http://books.google.com/books/content?id=fE3tUcY6yRgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
40,Conan: Sword of Skelos,['Andrew Offutt'],Macmillan,2002-02-18,"Carrying a precious and valuable amulet called the Eye of Erlik through a fierce desert, Conan and the lovely Isparana are met not with rewards, but threats at the hands of the tyrant Akter Khan. Reprint.",9780765340214,['Fiction'],3.0,1,http://books.google.com/books/content?id=sIZ21Ll6-9AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
41,Fire,['Anaïs Nin'],Harcourt Trade,1995,"In this “erotically charged”(Publishers Weekly) diary that picks up where Incest left off, Nin chronicles a restless search for fulfillment that leads her to New York City-”that brilliant giant toy” -then back to Paris and Henry, and eventually into the arms of a passionate new lover.",9780156003902,['Biography & Autobiography'],5.0,1,http://books.google.com/books/content?id=NI2vUobzEn8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
42,"In Favor of the Sensitive Man, and Other Essays",['Anaïs Nin'],Mariner Books,1976,"The acclaimed diarist and fictionist turns to the essay to explore and share her observations on men and women, writers, musicians, and film makers, and places of special appeal throughout the world",9780156444453,['Literary Collections'],5.0,1,http://books.google.com/books/content?id=fOIEAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
43,Fire,['Anaïs Nin'],Harcourt,1995,"Chronicles the author's arrival in New York, her return to France with novelist Henry Miller, and her affair with Gonzalo More",9780151000883,['Biography & Autobiography'],5.0,1,http://books.google.com/books/content?id=bypbAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
44,Henry and June,['Anaïs Nin'],Harcourt,1986,"Drawn from the original, uncensored diaries of Anais Nin, Henry and June chronicles one year in Paris in the early 30's when Anais Nin met Henry Miller and his wife June, and the affair that ensued with HENRY WHEN JUNE LEFT FOR NEW YORK.",9780151400034,['Biography & Autobiography'],3.5,11,http://books.google.com/books/content?id=CWFiAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
45,Flowers for Algernon,['Daniel Keyes'],Houghton Mifflin Harcourt,2005-04-11,"With more than five million copies sold, ""Flowers for Algernon"" is the beloved, classic story of a mentally disabled man whose experimental quest for intelligence mirrors that of Algernon, an extraordinary lab mouse. High school & older.",9780156030304,['Fiction'],4.0,210,http://books.google.com/books/content?id=NRWlitmahXkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
46,The Death of Ivan Ilyich and Other Stories,['Leo Tolstoy'],Wordsworth Editions,2004,"Tolstoy wrote many masterly short stories, and this volume contains four of the longest and best in distinguished translations that have stood the test of time.",9781840224535,['Fiction'],3,1,http://books.google.com/books/content?id=qzcSTHoNdSsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
47,The Wings of Merlin,['T. A. Barron'],Ace,2003,"Merlin's fragile home on the isle of Fincayra is threatened by the attack of a mysterious warrior with swords for arms and by the escape of Stangmar from his imprisonment, as Merlin continues to move toward his ultimate destiny.",9780441010240,['Fiction'],5.0,1,http://books.google.com/books/content?id=o6c5pTKMsmEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
48,El club Dante,['Matthew Pearl'],Editorial Seix Barral,2006,"Boston, 1865. Importantes personalidades están siendo brutalmente asesinadas por un criminal que se inspira en los tormentos del Infierno de Dante. Sólo los miembros del club Dante —poetas y profesores de Harvard dirigidos por Henry Wadsworth Longfellow— pueden anticiparse al asesino e identificarle. Nicholas Rey, el primer policía negro del departamento de Boston, dirigirá la investigación.",9788432217203,['Fiction'],3.0,1,http://books.google.com/books/content?id=YCvDPAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,es
49,El Club Dante,['Matthew Pearl'],Planeta Publishing,2004,"Boston, 1865. Importantes personalidades están siendo brutalmente asesinadas por un criminal inspirado en los tormentos del Infierno de Dante. Sólo los miembros del club Dante —poetas y profesores de Harvard dirigidos por Henry Wadsworth Longfellow— pueden anticiparse al asesino e identificarle. Mientras preparan la primera traducción americana de La divina comedia enfrentándose a la oposición de la puritana vieja guardia de Harvard, los intelectuales deberán convertirse en detectives y pasar a la acción. Nicholas Ray, el primer policía negro del departamento de Boston, dirigirá la investigación oficial mientras los miembros del club llevan a cabo sus insólitas pesquisas. Un dantesco infierno medieval se cierne sobre las calles de la ciudad, en una época que toca a su fin, convulsa por la recién terminada guerra civil, el asesinato del presidente Lincoln y los disturbios raciales. Comparada insistentemente con El nombre de la rosa , de Umberto Eco, aclamada por la crítica con una unanimidad asombrosa y refrendada por el público con su presencia en las listas de los libros más vendidos de New York Times, Boston Globe, Washington Post, Los Angeles Times, The Guardian, entre otros, El club Dante está a punto de ser publicada en veintiún países antes de ser llevada al cine. Matthew Pearl ha logrado un equilibrio perfecto entre realidad y ficción, una novela histórica de suspense que sorprende de principio a fin. Publicada o a punto de publicarse en 21 países: Estados Unidos [ www.thedanteclub.com ] , Canadá, Holanda, Reino Unido, Alemania, Francia, Japón, Italia, Suecia, Grecia, Corea, Croacia, Serbia, Hungría, Bulgaria, Turquía, Brasil, Israel, Polonia, Rusia, Rumania, Dinamarca, Islandia, Irlanda, Noruega, Australia, Nueva Zelanda.",9788432296321,['Fiction'],3.5,6,http://books.google.com/books/content?id=av9ZuZhUrB4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,es
50,Gone with the Wind,['Margaret Mitchell'],Grand Central Pub,1999,The turbulent romance of Scarlett O'Hara and Rhett Butler is shaped by the ravages of the Civil War and Reconstruction,9780446675536,['Fiction'],4.5,3202,http://books.google.com/books/content?id=HlbCywEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
51,The Wind Done Gone,['Alice Randall'],Houghton Mifflin Harcourt,2001,"A literary parody of Gone With the Wind finds Scarlett O'Hara's beautiful Tara-born mulatto half-sister Cyrnara escaping her life of slavery in the world of the Old South to emerge into full life as a daughter, lover, and mother. A first novel. Reprint.",9780618219063,['Fiction'],3,10,http://books.google.com/books/content?id=SIWrgEKYbDQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
52,Utopia,['Thomas More'],Yale University Press,2001,"Addressing such issues as religious pluralism, women's rights, state-sponsored education, colonialism, and justified warfare, Utopia seems remarkably contemporary nearly five centuries after it was written, and it remains a foundational text in philosophy and political theory."".",9780300084290,['Philosophy'],5,1,http://books.google.com/books/content?id=zKvRgN85yfQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
53,Utopia,['Thomas More'],Penguin,2003-01-30,Revised introduction; new chronology and further reading Translated with an Introduction by Paul Turner.,9780140449105,['Fiction'],4.0,2,http://books.google.com/books/content?id=BdXTnHXBaBIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
54,The Kissing Hand,['Audrey Penn'],Tanglewood Press,1993-10-15,"When Chester the raccoon is reluctant to go to kindergarten for the first time, his mother teaches him a secret way to carry her love with him.",9781933718002,['Juvenile Fiction'],4.5,20,http://books.google.com/books/content?id=pJH2OsroXCcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
55,Hands of Light,['Barbara Ann Brennan'],Bantam,1988,"Building on the ideas of holistic medicine, this book develops the idea of the human energy field, exploring how this can be tapped into to promote healing",9780553345391,"['Body, Mind & Spirit']",4.5,6,http://books.google.com/books/content?id=M3dOAgz05bQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
56,Gifted Hands,"['Ben Carson', 'Cecil B. Murphey']",Zondervan,1996,Examines the life and career of the famous neurosurgeon.,9780310214694,['Biography & Autobiography'],4.5,26,http://books.google.com/books/content?id=GE9ETXQUuF0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
57,Shake Hands with the Devil,"['Roméo Dallaire', 'Brent Beardsley']",Arrow Books,2004,"When Lieutenant General Roméo Dallaire received the call to serve as force commander of the UN mission to Rwanda, he thought he was heading off to Africa to help two warring parties achieve a peace both sides wanted. Instead, he and members of his small international force were caught up in a vortex of civil war and genocide. Dallaire left Rwanda a broken man; disillusioned, suicidal, and determined to tell his story. An award-winning international sensation, Shake Hands with the Devil is a landmark contribution to the literature of war: a remarkable tale of a soldier's courage and an unforgettable portrait of modern warfare. It is also a stinging indictment of the petty bureaucrats who refused to give Dallaire the men and the operational freedom he needed to stop the killing. 'I know there is a God,' Dallaire writes, 'because in Rwanda I shook hands with the devil. I have seen him, I have smelled him and I have touched him. I know the devil exists and therefore I know there is a God.'",9780099478935,['Burgeroorlogen / gtt'],4,9,http://books.google.com/books/content?id=H6MPAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
