,title,authors,publisher,published_date,description,ISBN13,categories,google_rating,google_ratings_count,book_cover_url,language
651,A History of the World in 6 Glasses,['Tom Standage'],Bloomsbury Publishing USA,2006-05-16,"An offbeat history of the world traces the story of humankind from the Stone Age to the twenty-first century from the perspective of six different drinks--beer, wine, spirits, coffee, tea, and cola--describing their pervasive influence during pivotal eras of world history, from humankind's adoption of agriculture to the advent of globalization. Reprint. 40,000 first printing.",9780802715524,['History'],4.0,6,http://books.google.com/books/content?id=sSugAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
652,A History of God,['Karen Armstrong'],Gramercy,2004,"A study of the deity of the world's three dominant monotheistic religions: Judaism, Christianity, and Islam. In a dynamic interplay between religion and society's ever-changing beliefs, values, and traditions, human beings' ideas about God have been transformed. Ideas about God have been molded to apply to the spiritual needs of the people who worship him in a particular place and time. The author explores and analyzes the development and progression of the various perceptions of God from the days of Abraham to present times--Adapted from book jacket.",9780517223123,['Religion'],3.5,1113,http://books.google.com/books/content?id=AsIRxQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
653,The Bon Appetit Cookbook,['Barbara Fairchild'],Wiley,2006-08-21,"""You can always tell a Bon App?tit recipe: It's a sophisticated twist on a beloved classic, and it's easy to make...our goal is to give you the cumulative expertise of Bon App?tit, with more than 1,200 recipes that will be delicious, first time out.""?Barbara Fairchild First launched in 1956, Bon App?tit is America?s favorite and most widely read food and entertaining magazine, with a circulation of 1.3 million. Now, for the first time, The Bon App?tit Cookbook brings together more than 1,200 of the magazine?s all-time best-loved recipes for every meal and occasion. The book is accessible and user-friendly -- just like the magazine -- and includes clear explanations and exclusive tips from the Bon App?tit test kitchen, along with 59 detailed illustrations of ingredients and techniques. The recipes have been skillfully selected to represent the very best of the magazine?s sophisticated, foolproof style: easy-to-make dishes that incorporate a variety of regional and international influences -- recipes that are delicious the first time out. From Cajun-Grilled Shrimp to Artichoke and Mushroom Lasagna to Hot and Sticky Apricot-Glazed Chicken to Molasses Chewies with Brown Sugar Glaze, there are dishes that will tempt every palate. Complete with a gorgeous 32-page color insert and a simple yet elegant design throughout, The Bon App?tit Cookbook is a must for those who truly love to make and enjoy great food.",9780764596865,['Cooking'],4.0,2,http://books.google.com/books/content?id=7VE-AQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
654,The Barefoot Contessa Cookbook,['Ina Garten'],Clarkson Potter Publishers,1999,"Presents a collection of recipes for appetizers, entrees, desserts, and accompaniments",9780609602195,['Cooking'],4.5,216,http://books.google.com/books/content?id=5eIVAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
655,Into a Paris Quartier,['Diane Johnson'],National Geographic Society,2005,"Henry is generally well-behaved, but he is occasionally arrogant and vain. Henry is at heart a hard worker, but his frequent bouts of illness hinder his work.",9780792272663,['History'],3.5,2,http://books.google.com/books/content?id=tQRoAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
656,Sylvia,['Leonard Michaels'],"Farrar, Straus and Giroux",2007-05-29,"First acclaimed as a story-length memoir, then expanded into a novel, Sylvia draws us into the lives of a young couple whose struggle to survive Manhattan in the early 1960s involves them in sexual fantasias, paranoia, drugs, and the extreme intimacy of self-destructive violence. Reproducing a time and place with extraordinary clarity, Leonard Michaels explores with self-wounding honesty the excruciating particulars of a youthful marriage headed for disaster.",9780374271077,['Fiction'],5.0,3,http://books.google.com/books/content?id=x_4wmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
657,Squadron Supreme,"['Marc Guggenheim', 'Paul Gulacy']",Marvel Enterprises,2007,YA. Graphic Novel. Collects Squadron Supreme: Hyperion vs. Nighthawk #1-4.,9780785118954,['Comics & Graphic Novels'],3.0,1,http://books.google.com/books/content?id=b9ctAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
658,Olympos,['Dan Simmons'],Harper Voyager,2006-07-25,"Beneath the gaze of the gods, the mighty armies of Greece and Troy met in fierce and glorious combat, scrupulously following the text set forth in Homer's timeless narrative. But that was before twenty-first-century scholar Thomas Hockenberry stirred the bloody brew, causing an enraged Achilles to join forces with his archenemy Hector and turn his murderous wrath on Zeus and the entire pantheon of divine manipulators; before the swift and terrible mechanical creatures that catered for centuries to the pitiful idle remnants of Earth's human race began massing in the millions, to exterminate rather than serve. And now all bets are off.",9780380817931,['Fiction'],3.0,16,http://books.google.com/books/content?id=rbEOlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
659,The Terror,['Dan Simmons'],"Little, Brown",2007-01-08,"The men on board HMS Terror have every expectation of triumph. As part of the 1845 Franklin Expedition, the first steam-powered vessels ever to search for the legendary Northwest Passage, they are as scientifically supported an enterprise as has ever set forth. As they enter a second summer in the Arctic Circle without a thaw, though, they are stranded in a nightmarish landscape of encroaching ice and darkness. Endlessly cold, with diminishing rations, 126 men fight to survive with poisonous food, a dwindling supply of coal, and ships buckling in the grip of crushing ice. But their real enemy is far more terrifying. There is something out there in the frigid darkness: an unseen predator stalking their ship, a monstrous terror constantly clawing to get in.When the expedition's leader, Sir John Franklin, meets a terrible death, Captain Francis Crozier takes command and leads his surviving crewmen on a last, desperate attempt to flee south across the ice. With them travels an Inuit woman who cannot speak and who may be the key to survival, or the harbinger of their deaths. But as another winter approaches, as scurvy and starvation grow more terrible, and as the terror on the ice stalks them southward, Crozier and his men begin to fear that there is no escape. The Terror swells with the heart-stopping suspense and heroic adventure that have won Dan Simmons praise as ""a writer who not only makes big promises but keeps them"" (Seattle Post-Intelligencer). With a haunting and constantly surprising story based on actual historical events, The Terror is a novel that will chill you to your core.",9780316017442,['Fiction'],4.0,100,http://books.google.com/books/content?id=2FLxMwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
660,Worlds Enough & Time,['Dan Simmons'],Harper Collins,2002-11-26,"An extraordinary artist with few rivals in his chosen arena, Dan Simmons possesses a restless talent that continually presses boundaries while tantalizing the mind and touching the soul. Now he offers us a superb quintet of novellas -- five dazzling masterworks of speculative fiction, including ""Orphans of the Helix,"" his award-winning return to the Hyperion Universe -- that demonstrates the unique mastery, breathtaking invention, and flawless craftsmanship of one of contemporary fiction's true greats. Human colonists seeking something other than godhood encounter their long-lost ""cousins""...and an ancient scourge. A devastated man in suicide's embrace is caught up in a bizarre cat-and-mouse game with a young woman possessing a world-ending power. The distant descendants of a once-oppressed people learn a chilling lesson about the persistence of the past. A terrifying ascent up the frigid, snow-swept slopes of K2 shatters preconceptions and reveals the true natures of four climbers, one of whom is not human. At the intersection of a grand past and a threadbare present, an aging American in Russia confronts his own mortality as he glimpses a wondrous future.",9780060506049,['Fiction'],3.0,8,http://books.google.com/books/content?id=EKoIG4auiB4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
